Time-Stamp, Data-Prefix, Data-Size, OutputStream, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk
2023-09-26 13:35:14.56, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:35:19.372, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:35:25.257, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:35:29.805, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:35:34.818, zfkd_, 60000_, test_zfkd_2.txt, 2, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:01.267, zfkd_, 60000_, test_zfkd_2.txt, 0, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:05.898, zfkd_, 60000_, test_zfkd_2.txt, 0, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:10.479, zfkd_, 60000_, test_zfkd_2.txt, 0, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:15.124, zfkd_, 60000_, test_zfkd_2.txt, 1, 0, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:21.153, zfkd_, 60000_, test_zfkd_2.txt, 1, 1, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
2023-09-26 13:47:25.654, zfkd_, 60000_, test_zfkd_2.txt, 1, 2, 0, 0, 0, 0, 0.22051666666666667, 0.045454545454545456, 1.0
