Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-21 15:34:50.041, zfkd_, 5000, 0.0012000000000000899, 2, -1, -1, -1, -1, -1, 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.063, zfkd_, 5000, 0.0012000000000000899, 3, -1, -1, -1, -1, -1, 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.146, zfkd_, 5000, 0.0012000000000000899, 4, -1, -1, -1, -1, -1, 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.289, zfkd_, 10000, 2.9999999999996696E-4, 0, -1, -1, -1, -1, -1, 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.329, zfkd_, 10000, 2.9999999999996696E-4, 1, -1, -1, -1, -1, -1, 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.468, zfkd_, 10000, 2.9999999999996696E-4, 2, -1, -1, -1, -1, -1, 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.547, zfkd_, 10000, 2.9999999999996696E-4, 3, -1, -1, -1, -1, -1, 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.761, zfkd_, 10000, 2.9999999999996696E-4, 4, -1, -1, -1, -1, -1, 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:50.996, zfkd_, 20000, 0.0, 0, -1, -1, -1, -1, -1, 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:34:51.046, zfkd_, 20000, 0.0, 1, -1, -1, -1, -1, -1, 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
